# k-absmag	logphi	number	error	junk2	junk3
-25.62   -7.322     4.     0.5000      0.301      0.176
-25.38   -6.900     8.     0.3536      0.189      0.131
-25.12   -6.181    30.     0.1826      0.088      0.073
-24.88   -5.444    92.     0.1043      0.048      0.043
-24.62   -4.998   168.     0.0772      0.035      0.032
-24.38   -4.537   320.     0.0559      0.025      0.024
-24.12   -4.196   445.     0.0474      0.021      0.020
-23.88   -3.916   558.     0.0423      0.019      0.018
-23.62   -3.745   545.     0.0428      0.019      0.018
-23.38   -3.533   574.     0.0417      0.019      0.018
-23.12   -3.417   495.     0.0449      0.020      0.019
-22.88   -3.330   435.     0.0479      0.021      0.020
-22.62   -3.300   333.     0.0548      0.024      0.023
-22.38   -3.165   285.     0.0592      0.027      0.025
-22.12   -3.151   181.     0.0743      0.034      0.031
-21.88   -3.168   121.     0.0909      0.041      0.038
-21.62   -3.165    91.     0.1048      0.048      0.043
-21.38   -3.096    74.     0.1162      0.054      0.048
-21.12   -3.105    53.     0.1374      0.064      0.056
-20.88   -3.046    46.     0.1474      0.069      0.060
-20.62   -2.863    53.     0.1374      0.064      0.056
-20.38   -3.057    25.     0.2000      0.097      0.079
-20.12   -3.120    16.     0.2500      0.125      0.097
-19.88   -3.150    11.     0.3015      0.156      0.114
-19.62   -2.865    14.     0.2673      0.135      0.103
-19.38   -2.549    19.     0.2294      0.113      0.090
-19.12   -2.876     6.     0.4082      0.228      0.149
-18.88   -2.797     5.     0.4472      0.257      0.161
